,zip,state,customersServed,customersAffected,lastUpdatedTime,latitude,longitude,utility,time pulled
0,70003,L,17838,1,1752896667348,30.00099,-90.21825,Entergy,2025-07-19 03:45:07.754652
1,70047,L,5276,1,1752896667348,29.9648,-90.37318,Entergy,2025-07-19 03:45:07.754652
2,70065,L,22310,9,1752896667348,30.02063,-90.25046,Entergy,2025-07-19 03:45:07.754652
3,70070,L,5753,18,1752896667348,29.92437,-90.36795,Entergy,2025-07-19 03:45:07.754652
4,70123,L,16688,36,1752896667348,29.9591,-90.20393,Entergy,2025-07-19 03:45:07.754652
5,70124,L,11425,1,1752896667348,30.01038,-90.10666,Entergy,2025-07-19 03:45:07.754652
6,70127,L,10624,1,1752896667348,30.03172,-89.9806,Entergy,2025-07-19 03:45:07.754652
7,70346,L,5054,1,1752896667348,30.10494,-91.00106,Entergy,2025-07-19 03:45:07.754652
8,70360,L,3453,1,1752896667348,29.5971,-90.74454,Entergy,2025-07-19 03:45:07.754652
9,70560,L,5282,1,1752896667348,29.98533,-91.84989,Entergy,2025-07-19 03:45:07.754652
10,70714,L,4974,1,1752896667348,30.58196,-91.141,Entergy,2025-07-19 03:45:07.754652
11,70805,L,10882,3,1752896667348,30.49101,-91.14945,Entergy,2025-07-19 03:45:07.754652
12,70806,L,15743,1,1752896667348,30.44784,-91.12812,Entergy,2025-07-19 03:45:07.754652
13,70808,L,18087,2,1752896667348,30.40982,-91.14754,Entergy,2025-07-19 03:45:07.754652
14,70810,L,22165,2,1752896667348,30.36238,-91.08926,Entergy,2025-07-19 03:45:07.754652
15,70815,L,12793,5,1752896667348,30.45703,-91.06799,Entergy,2025-07-19 03:45:07.754652
16,70816,L,17016,2,1752896667348,30.42356,-91.03448,Entergy,2025-07-19 03:45:07.754652
17,71071,L,1398,2,1752896667348,32.92043,-93.43186,Entergy,2025-07-19 03:45:07.754652
18,71072,L,443,53,1752896667348,32.94132,-93.29916,Entergy,2025-07-19 03:45:07.754652
19,71201,L,13492,40,1752896667348,32.52237,-92.10483,Entergy,2025-07-19 03:45:07.754652
20,71203,L,19357,26,1752896667348,32.5353,-92.04635,Entergy,2025-07-19 03:45:07.754652
21,71223,L,345,1,1752896667348,32.92004,-91.67538,Entergy,2025-07-19 03:45:07.754652
22,71250,L,255,4,1752896667348,32.98082,-91.60985,Entergy,2025-07-19 03:45:07.754652
23,71281,L,67,1,1752896667348,32.52678,-92.08133,Entergy,2025-07-19 03:45:07.754652
24,71373,L,1182,1,1752896667348,31.56768,-91.4838,Entergy,2025-07-19 03:45:07.754652
